Vis,Frec,X,Y,Z,Formato
Alta,Alta,-70.3471513158443,-27.3497102660805,362.774043630931,1
Alta,Alta,-70.3474493428779,-27.3529981782514,361.808924943262,1
Alta,Media,-70.3456072203487,-27.3582068788668,367.734996449311,1
Alta,Alta,-70.3522393761823,-27.3521161696452,358.787095601401,1
Alta,Baja,-70.3517797295508,-27.3533820127285,359.86847255594,1
Alta,Alta,-70.3477854513222,-27.3559479749412,364.121357502934,1
Alta,Alta,-70.348142889886,-27.3604770202734,366.66847251924,1
Media,Baja,-70.349487534477,-27.3501315995977,360.305476130889,1
Alta,Alta,-70.3468988331741,-27.3576351497311,366.783646927777,0
Alta,Alta,-70.3520864889114,-27.3560768985454,362.574681606234,0
Baja,Baja,-70.3511114114731,-27.35650827435,363.069508070118,1
Alta,Alta,-70.3511004860292,-27.3525615978639,359.488053082129,0
Alta,Media,-70.346469068704,-27.3620335209219,368.540580643726,1
Baja,Baja,-70.341144069859,-27.3605333303951,374.019769350857,1
Media,Media,-70.3462118574637,-27.3499479838577,364.419951921021,1
Media,Media,-70.3463335701372,-27.3498399346417,364.111158101593,1
Alta,Media,-70.3504890435328,-27.3564527548977,363.485811897159,1
Baja,Baja,-70.3518532387141,-27.3532776124429,359.357561859476,1
Alta,Media,-70.3501125992119,-27.3543209300668,361.78645628646,1
Baja,Alta,-70.3469632575667,-27.3537137696013,363.296144235836,1
Alta,Baja,-70.3415091603934,-27.3618877194512,372.536987613673,1
Alta,Alta,-70.3511025780894,-27.3504783186123,358.477986567188,1
Media,Baja,-70.349147942505,-27.3532436100996,361.448574384614,1
Alta,Baja,-70.3432165922664,-27.3632538866042,370.840942182615,1
Alta,Alta,-70.3458624274472,-27.3607844510489,367.973229930893,1
Baja,Baja,-70.3520561599928,-27.3463233322041,356.406273503071,1
Alta,Baja,-70.3484702737283,-27.34315594716,358.542453793697,1
Alta,Alta,-70.3498848434175,-27.3541689651069,361.137727019132,1
Media,Baja,-70.349147942505,-27.3532436100996,361.448574384614,1
Media,Baja,-70.3505768271422,-27.3563769536857,363.333649930327,1
Alta,Media,-70.3524435005065,-27.3552396722102,361.414218870202,1
Media,Media,-70.3480866337852,-27.3559267680292,363.875468157832,1
Alta,Media,-70.3459133652374,-27.3502339444864,365.092334384012,0
Alta,Media,-70.3459133652374,-27.3502339444864,365.092334384012,0
Baja,Baja,-70.3498105367935,-27.3456597724551,363.24970976305,1
Alta,Media,-70.3432613785771,-27.3632013987196,370.743194556086,1
Alta,Media,-70.346469068704,-27.3620335209219,368.540580643726,1
Baja,Alta,-70.3446279072733,-27.3597694852744,368.940022298983,1
Alta,Alta,-70.351678841103,-27.3515324293603,358.471964921059,0
Alta,Baja,-70.3505442918055,-27.3487533899476,358.580507391415,1
Baja,Baja,-70.3485123974039,-27.3487203702238,362.444431967332,1
Alta,Alta,-70.3486622690506,-27.3570315732695,363.904107089383,0
Alta,Media,-70.3442265392375,-27.3619253735348,370.022772159891,1
Alta,Alta,-70.3468526198442,-27.3519144802926,362.393246529461,0
Alta,Alta,-70.3458624274472,-27.3607844510489,367.973229930893,1
Alta,Media,-70.3529737013606,-27.34710924793,355.512906773839,1
Baja,Alta,-70.343437838308,-27.3523708584377,385.764720308886,1
Alta,Alta,-70.3451535100543,-27.3526532135451,365.104399648589,1
Alta,Alta,-70.3471547555016,-27.359850914241,366.576369045574,1
Alta,Alta,-70.3515070966818,-27.3516596592295,358.735783883527,1
Baja,Baja,-70.3479386823649,-27.3510601512064,361.048064091224,1
Alta,Media,-70.3473518985531,-27.3519992735314,361.871778420928,1
Baja,Baja,-70.3515277991722,-27.3540927882649,361.359173971595,1
Media,Baja,-70.3430693768219,-27.360456029261,370.686426143238,1
Media,Media,-70.351748055086,-27.3538497956556,360.57784688483,1
Alta,Alta,-70.3470050179903,-27.3595906212699,366.618587854816,1
Alta,Media,-70.3460847170902,-27.3470201630803,374.613262623213,1
Media,Baja,-70.3473421628694,-27.3491674125943,364.003228925172,1
Alta,Media,-70.3459133652374,-27.3502339444864,365.092334384012,0
Alta,Baja,-70.3488311056166,-27.346643253278,365.350804764594,1
Media,Alta,-70.3510422912546,-27.3503951238571,358.745550334555,1
Alta,Baja,-70.3518287379011,-27.3565699941158,362.97035408503,0
Baja,Media,-70.3424072168552,-27.3631130491738,371.620871185099,1
Alta,Baja,-70.3425651291451,-27.3610763945154,371.459092312552,1
Alta,Media,-70.3501125992119,-27.3543209300668,361.78645628646,1
Alta,Alta,-70.3470050179903,-27.3595906212699,366.618587854816,1
Alta,Alta,-70.3503358718881,-27.3587158439558,364.814037653783,0
Alta,Baja,-70.3499107843467,-27.3455445214451,362.655494754056,1
Alta,Alta,-70.3450913840753,-27.351722845822,364.179729520182,1
Alta,Media,-70.3501125992119,-27.3543209300668,361.78645628646,1
Alta,Alta,-70.346960800058,-27.3599770839293,367.028962881931,1
Baja,Baja,-70.3515914221731,-27.3540264498128,361.352223225423,1
Baja,Media,-70.3494868892858,-27.348563900667,361.009696918299,1
Media,Baja,-70.349487534477,-27.3501315995977,360.305476130889,1
Alta,Media,-70.3464410040609,-27.3497728551411,363.854885217442,1
Alta,Alta,-70.3486622690506,-27.3570315732695,363.904107089383,0
Media,Baja,-70.3514239381019,-27.3554512411667,362.193031123777,1
Alta,Media,-70.3461037458832,-27.3500529166194,364.090979054638,1
Alta,Baja,-70.3432425524112,-27.3605450070551,370.404850406559,1
Alta,Baja,-70.3507729769065,-27.3459469619127,359.04447345327,1
Baja,Baja,-70.3411580978854,-27.3617802526674,372.605550685836,1
Media,Baja,-70.3511616307354,-27.355535056959,362.448841127899,1
Baja,Baja,-70.3499558544247,-27.356063807557,363.112365407793,1
Alta,Media,-70.3501125992119,-27.3543209300668,361.78645628646,1
Alta,Alta,-70.3498848434175,-27.3541689651069,361.137727019132,1
Media,Baja,-70.3505184240779,-27.3474446866216,359.617477198714,0
Media,Media,-70.3516890021403,-27.344594578252,356.395538991168,1
Alta,Alta,-70.3522393761823,-27.3521161696452,358.787095601401,1
Alta,Alta,-70.3451535100543,-27.3526532135451,365.104399648589,1
Media,Baja,-70.3456433876114,-27.3611006302234,368.360810395921,1
Alta,Baja,-70.3521653401047,-27.3567575776802,362.220632068383,0
Alta,Alta,-70.3471547555016,-27.359850914241,366.576369045574,1
Alta,Alta,-70.3503358718881,-27.3587158439558,364.814037653783,0
Media,Media,-70.3462118574637,-27.3499479838577,364.419951921021,1
Baja,Baja,-70.3530711605546,-27.3469124323342,354.952503407779,0
Alta,Alta,-70.3470050179903,-27.3595906212699,366.618587854816,1
Alta,Alta,-70.343879768152,-27.3638542158216,371.301556358164,0
Media,Alta,-70.3485702999657,-27.3588780717822,365.277613902198,1
Alta,Alta,-70.3446989368831,-27.3607495513643,370.189071739446,0
Alta,Alta,-70.3476179470257,-27.3510858298721,361.366552749348,1
Media,Baja,-70.3498329676201,-27.3501882114065,359.956772731826,1
Baja,Baja,-70.3485123974039,-27.3487203702238,362.444431967332,1
Baja,Baja,-70.3402819381904,-27.3608542386131,373.413356192288,1
Media,Baja,-70.3463316481606,-27.345486248994,376.173204487125,1
Alta,Baja,-70.3523897360935,-27.352945471754,359.327497603175,1
Alta,Baja,-70.345895913904,-27.3461121789799,377.113886005036,0
Alta,Baja,-70.3429773637647,-27.3594555594085,374.495796820958,1
Baja,Baja,-70.3457175150872,-27.3610738565575,368.328682140728,1
Alta,Alta,-70.3445870310411,-27.359725496589,369.007242724108,1
Alta,Media,-70.3461037458832,-27.3500529166194,364.090979054638,1
Baja,Baja,-70.3413510590088,-27.361850768497,372.268772441744,1
Alta,Alta,-70.3515070966818,-27.3516596592295,358.735783883527,1
Alta,Media,-70.3492654729121,-27.3462895776305,364.826803769128,0
Alta,Media,-70.3471101071684,-27.3489486540246,365.703896784945,1
Alta,Media,-70.3456072203487,-27.3582068788668,367.734996449311,1
Baja,Alta,-70.3432129298258,-27.3634300058367,371.287330269085,1
Media,Baja,-70.3511616307354,-27.355535056959,362.448841127899,1
Alta,Media,-70.3465481956785,-27.349731677242,363.754900484326,1
Alta,Media,-70.3473518985531,-27.3519992735314,361.871778420928,1
Media,Media,-70.3517117177564,-27.3538868804298,360.803724344905,0
Alta,Baja,-70.3498029517707,-27.3509070876053,360.428070797499,1
Alta,Baja,-70.352563075402,-27.3537729986811,359.836560251069,0
Media,Baja,-70.3448616958481,-27.3590813847691,369.068501614343,1
Alta,Alta,-70.3489099566709,-27.3577119703954,364.407532230433,1
Media,Alta,-70.3476788311538,-27.3569795181721,365.640299265881,1
Alta,Alta,-70.3471547555016,-27.359850914241,366.576369045574,1
Media,Baja,-70.3514239381019,-27.3554512411667,362.193031123777,1
Alta,Alta,-70.3434452887498,-27.3640341292545,371.87594078347,1
Alta,Alta,-70.3439754265599,-27.3523867929649,376.545326978761,1
Media,Baja,-70.3420167670187,-27.3626946922829,372.649992855526,1
Baja,Media,-70.3442494113444,-27.3620822721648,369.47867904054,1
Alta,Alta,-70.3490508096474,-27.3585436160936,364.726586695574,1
Media,Baja,-70.3489184673441,-27.349359135321,360.534446572563,1
Alta,Media,-70.3468697843391,-27.3496847915512,363.287661957356,1
Alta,Alta,-70.347597374885,-27.3528584097053,361.482009052042,1
Baja,Baja,-70.341144069859,-27.3605333303951,374.019769350857,1
Alta,Media,-70.3466334083418,-27.349704369382,363.738445693086,1
Alta,Media,-70.3505201240876,-27.3564172442038,363.506393987345,1
Baja,Baja,-70.3411580978854,-27.3617802526674,372.605550685836,1
Baja,Baja,-70.341144069859,-27.3605333303951,374.019769350857,1
Media,Media,-70.3516233065523,-27.3445127957817,356.623572525355,1
Alta,Alta,-70.34602728554,-27.3608182293543,368.024826711736,0
Alta,Alta,-70.3489099566709,-27.3577119703954,364.407532230433,1
Baja,Alta,-70.3445018105078,-27.3608942933095,370.365308949559,1
Alta,Alta,-70.3472146248694,-27.3597926027633,366.466716514767,1
Alta,Alta,-70.3464075798149,-27.3524362811236,362.587006396548,1
Alta,Media,-70.3492763255309,-27.3465935633024,364.291594544109,0
Baja,Alta,-70.3446279072733,-27.3597694852744,368.940022298983,1
Media,Baja,-70.3511616307354,-27.355535056959,362.448841127899,1
Media,Baja,-70.3505768271422,-27.3563769536857,363.333649930327,1
Alta,Baja,-70.3442743152834,-27.3597227782246,369.450120586921,1
Alta,Media,-70.3481077674268,-27.3533974224552,362.143694634193,1
Alta,Alta,-70.3517303280486,-27.3523418070401,358.923015728261,1
Alta,Media,-70.3479870814793,-27.3534976150001,361.877821368833,1
Alta,Baja,-70.3522863104525,-27.3558856511547,361.947572885701,1
Alta,Media,-70.3492654729121,-27.3462895776305,364.826803769128,0
Alta,Media,-70.3459133652374,-27.3502339444864,365.092334384012,0
Alta,Media,-70.3461037458832,-27.3500529166194,364.090979054638,1
Alta,Media,-70.3456072203487,-27.3582068788668,367.734996449311,1
Media,Baja,-70.349147942505,-27.3532436100996,361.448574384614,1
Alta,Baja,-70.3517797295508,-27.3533820127285,359.86847255594,1
Alta,Media,-70.3504890435328,-27.3564527548977,363.485811897159,1
Media,Baja,-70.3430693768219,-27.360456029261,370.686426143238,1
Alta,Alta,-70.3443375295182,-27.3610039804078,370.151037876073,1
Alta,Media,-70.3473518985531,-27.3519992735314,361.871778420928,1
Alta,Media,-70.3432613785771,-27.3632013987196,370.743194556086,1
Alta,Alta,-70.3477609289098,-27.355456944278,363.613877239713,1
Alta,Baja,-70.3513841395125,-27.3458727287791,357.616274980969,1
Alta,Alta,-70.3493965319259,-27.3530555302923,361.54404071094,1
Baja,Baja,-70.3413510590088,-27.361850768497,372.268772441744,1
Alta,Media,-70.3492654729121,-27.3462895776305,364.826803769128,0
Alta,Media,-70.3529737013606,-27.34710924793,355.512906773839,1
Alta,Baja,-70.345704064726,-27.3583352510981,367.515342890477,1
Alta,Baja,-70.3499107843467,-27.3455445214451,362.655494754056,1
Alta,Alta,-70.346960800058,-27.3599770839293,367.028962881931,1
Alta,Media,-70.3461037458832,-27.3500529166194,364.090979054638,1
Alta,Alta,-70.3512428478869,-27.3503772338801,358.323482035976,1
Baja,Media,-70.3441659287603,-27.3607342181889,370.103875224341,1
Alta,Media,-70.3464283303096,-27.3619538415431,368.486882933179,1
Baja,Media,-70.3442494113444,-27.3620822721648,369.47867904054,1
Alta,Baja,-70.3517797295508,-27.3533820127285,359.86847255594,1
Alta,Media,-70.3439086325993,-27.3634129321879,371.19670341815,1
Alta,Baja,-70.3429949453464,-27.3607355497937,370.664875613051,1
Baja,Baja,-70.3518532387141,-27.3532776124429,359.357561859476,1
Alta,Baja,-70.3506644247061,-27.3563920896463,363.168427843188,1
Baja,Baja,-70.3516675657277,-27.3537524821326,360.219215436624,1
Alta,Alta,-70.3433462038955,-27.363567877419,371.613643467746,1
Alta,Baja,-70.3506644247061,-27.3563920896463,363.168427843188,1
Alta,Alta,-70.3470050179903,-27.3595906212699,366.618587854816,1
Alta,Alta,-70.3477854513222,-27.3559479749412,364.121357502934,1
Media,Baja,-70.3505184240779,-27.3474446866216,359.617477198714,0
Alta,Baja,-70.3507729769065,-27.3459469619127,359.04447345327,1
Alta,Alta,-70.351179413892,-27.3455242184511,358.089624841362,1
Alta,Alta,-70.346960800058,-27.3599770839293,367.028962881931,1
Alta,Baja,-70.3498029517707,-27.3509070876053,360.428070797499,1
Alta,Alta,-70.3489901694376,-27.3576390861366,364.350407222919,1
Alta,Alta,-70.347597374885,-27.3528584097053,361.482009052042,1
Baja,Baja,-70.3453323014832,-27.3580737800094,367.635615319789,1
Media,Media,-70.3490326919105,-27.3468431712908,364.343878273971,1
Alta,Alta,-70.3441906772224,-27.3636694309703,371.269989989998,1
Alta,Baja,-70.3435614360993,-27.3598393164367,370.068237912576,1
Alta,Media,-70.3492763255309,-27.3465935633024,364.291594544109,0
Alta,Media,-70.3489148888108,-27.3533334323712,361.476913737489,1
Alta,Alta,-70.3473863884496,-27.3512784289662,361.77396285308,1
Alta,Alta,-70.3472146248694,-27.3597926027633,366.466716514767,1
Baja,Baja,-70.3454457034335,-27.358169559298,367.882422546772,1
Media,Baja,-70.3505768271422,-27.3563769536857,363.333649930327,1
Media,Baja,-70.349487534477,-27.3501315995977,360.305476130889,1
Alta,Alta,-70.3471547555016,-27.359850914241,366.576369045574,1
Alta,Alta,-70.3468988331741,-27.3576351497311,366.783646927777,0
Baja,Baja,-70.3514201752054,-27.3540134194356,361.168173731287,1
Alta,Alta,-70.3489434846837,-27.3576751645089,364.350443024841,1
Media,Alta,-70.3522704685748,-27.3561759031778,0,1
Alta,Alta,-70.3458624274472,-27.3607844510489,367.973229930893,1
Alta,Alta,-70.3488486431466,-27.3586999222085,365.040378832773,1
Media,Media,-70.3517117177564,-27.3538868804298,360.803724344905,0
Alta,Alta,-70.347164965465,-27.3599472018264,366.819498803509,1
Alta,Media,-70.3492763255309,-27.3465935633024,364.291594544109,0
Alta,Media,-70.3468697843391,-27.3496847915512,363.287661957356,1
Alta,Alta,-70.3490508096474,-27.3585436160936,364.726586695574,1
Alta,Alta,-70.3489434846837,-27.3576751645089,364.350443024841,1
Alta,Alta,-70.3515070966818,-27.3516596592295,358.735783883527,1
Baja,Baja,-70.3504705755522,-27.351849157908,360.092701513504,1
Alta,Alta,-70.3516558201558,-27.3539503574799,360.999270184375,0
Alta,Media,-70.3468697843391,-27.3496847915512,363.287661957356,1
Alta,Alta,-70.3464994718438,-27.3604332187872,367.480062030498,1
Media,Alta,-70.3467575767537,-27.3577354654432,366.959482926628,1
Alta,Media,-70.3515040886134,-27.3484752844948,357.458280268837,0
Alta,Media,-70.3479459097936,-27.3536198768813,361.951115998519,1
Alta,Alta,-70.3509831664735,-27.3564767441338,363.193819164996,1
Alta,Alta,-70.3433163584992,-27.3639225189118,371.435649875451,1
Alta,Alta,-70.3450913840753,-27.351722845822,364.179729520182,1
Alta,Media,-70.3439149405486,-27.3624439094132,370.172193153498,1
Baja,Baja,-70.3515914221731,-27.3540264498128,361.352223225423,1
Media,Alta,-70.3443296095476,-27.3606882277257,369.941025276222,1
Baja,Alta,-70.3517447846299,-27.3516211887369,358.472045623921,1
Media,Alta,-70.3485702999657,-27.3588780717822,365.277613902198,1
Alta,Media,-70.3441877926696,-27.3583176274395,370.892059253358,1
Baja,Baja,-70.3416952567667,-27.3615728580293,372.380306068723,1
Media,Baja,-70.3420167670187,-27.3626946922829,372.649992855526,1
Baja,Baja,-70.3416952567667,-27.3615728580293,372.380306068723,1
Alta,Baja,-70.345895913904,-27.3461121789799,377.113886005036,0
Alta,Alta,-70.3471513158443,-27.3497102660805,362.774043630931,1
Media,Baja,-70.345104846655,-27.3616276205633,369.4501436273,1
Baja,Baja,-70.3516582128626,-27.3548459814331,360.974588772743,1
Alta,Alta,-70.3515070966818,-27.3516596592295,358.735783883527,1
Media,Baja,-70.349487534477,-27.3501315995977,360.305476130889,1
Alta,Alta,-70.3472146248694,-27.3597926027633,366.466716514767,1
Media,Baja,-70.3452095811222,-27.3617119402883,369.243987600887,1
Alta,Alta,-70.3471849941686,-27.3541896268162,363.186896492521,1
Alta,Alta,-70.3451535100543,-27.3526532135451,365.104399648589,1
Alta,Alta,-70.3464994718438,-27.3604332187872,367.480062030498,1
Alta,Media,-70.3492654729121,-27.3462895776305,364.826803769128,0
Baja,Alta,-70.3517447846299,-27.3516211887369,358.472045623921,1
Media,Baja,-70.3431500575744,-27.3603966049223,370.710581094883,1
Alta,Alta,-70.3499811406726,-27.3600411483899,366.120048441086,1
Alta,Alta,-70.3439754265599,-27.3523867929649,376.545326978761,1
Baja,Baja,-70.34331436617,-27.3609403643169,370.279934582028,1
Baja,Baja,-70.3459591271942,-27.3581609687253,367.443977897792,1
Alta,Alta,-70.3490508096474,-27.3585436160936,364.726586695574,1
Alta,Baja,-70.345704064726,-27.3583352510981,367.515342890477,1
Alta,Alta,-70.3486622690506,-27.3570315732695,363.904107089383,0
Alta,Media,-70.3440199762568,-27.3597551100554,369.753794239253,1
Baja,Baja,-70.3516865453249,-27.3539190047676,360.870732151204,1
Baja,Baja,-70.3459591271942,-27.3581609687253,367.443977897792,1
Alta,Media,-70.3492654729121,-27.3462895776305,364.826803769128,0
Alta,Media,-70.3467432451856,-27.3496819018971,363.675476157666,1
Media,Baja,-70.3514239381019,-27.3554512411667,362.193031123777,1
Alta,Alta,-70.3471849941686,-27.3541896268162,363.186896492521,1
Media,Baja,-70.350896945185,-27.3560213320668,363.236042458674,1
Media,Baja,-70.349147942505,-27.3532436100996,361.448574384614,1
Alta,Alta,-70.3471849941686,-27.3541896268162,363.186896492521,1
Alta,Media,-70.3464410040609,-27.3497728551411,363.854885217442,1
Alta,Alta,-70.3504471718938,-27.3565117287118,363.399002019409,1
Media,Baja,-70.345104846655,-27.3616276205633,369.4501436273,1
Baja,Baja,-70.3543260711399,-27.3440683624267,352.846383933029,1
Alta,Alta,-70.3458624274472,-27.3607844510489,367.973229930893,1
Alta,Alta,-70.3502951628671,-27.3518639090138,360.322403605671,1
Alta,Alta,-70.3471849941686,-27.3541896268162,363.186896492521,1
Baja,Media,-70.3531099536999,-27.3470326733588,355.09265652904,1
Alta,Alta,-70.3477854513222,-27.3559479749412,364.121357502934,1
Baja,Media,-70.3422008732679,-27.362913954505,373.258879258036,1
Alta,Alta,-70.3520864889114,-27.3560768985454,362.574681606234,0
Alta,Alta,-70.3489434846837,-27.3576751645089,364.350443024841,1
Media,Baja,-70.3452095811222,-27.3617119402883,369.243987600887,1
Media,Alta,-70.3467575767537,-27.3577354654432,366.959482926628,1
Media,Baja,-70.349147942505,-27.3532436100996,361.448574384614,1
Alta,Alta,-70.3462969981748,-27.3604586006051,367.726486672895,1
Baja,Alta,-70.3519927811005,-27.3522115654935,358.806468692042,1
Alta,Media,-70.3432613785771,-27.3632013987196,370.743194556086,1
Media,Baja,-70.350896945185,-27.3560213320668,363.236042458674,1
Alta,Alta,-70.3477854513222,-27.3559479749412,364.121357502934,1
Alta,Alta,-70.3503966828741,-27.3587944025716,364.814012736166,0
Alta,Alta,-70.3461175744739,-27.3533034956468,362.551069970111,1
Media,Baja,-70.3492066627909,-27.3497495346475,360.141917798999,1
Media,Alta,-70.3444822571792,-27.3607290345998,369.991352166809,1
Alta,Media,-70.3459133652374,-27.3502339444864,365.092334384012,0
Alta,Baja,-70.3509954423762,-27.3473364545588,358.478048796157,1
Media,Baja,-70.3509349165783,-27.3474213404676,358.478052150288,1
Alta,Media,-70.3461037458832,-27.3500529166194,364.090979054638,1
Baja,Baja,-70.34331436617,-27.3609403643169,370.279934582028,1
Baja,Baja,-70.3430889271991,-27.3606613150928,370.514959759872,1
Alta,Alta,-70.3464994718438,-27.3604332187872,367.480062030498,1
Media,Baja,-70.3492066627909,-27.3497495346475,360.141917798999,1
Alta,Media,-70.3473518985531,-27.3519992735314,361.871778420928,1
Alta,Baja,-70.3429157810707,-27.3607807776863,370.828425747053,1
Alta,Alta,-70.3468988331741,-27.3576351497311,366.783646927777,0
Alta,Baja,-70.3442743152834,-27.3597227782246,369.450120586921,1
Baja,Baja,-70.3510474129577,-27.3493921437904,358.054017132529,1
Alta,Media,-70.3471101071684,-27.3489486540246,365.703896784945,1
Alta,Baja,-70.3515800446419,-27.3538555881312,361.038974297648,1
Baja,Baja,-70.3490930014704,-27.3531819639332,361.414218034145,1
Media,Baja,-70.3498329676201,-27.3501882114065,359.956772731826,1
Alta,Media,-70.3440199762568,-27.3597551100554,369.753794239253,1
Alta,Alta,-70.3489434846837,-27.3576751645089,364.350443024841,1
Media,Media,-70.3463335701372,-27.3498399346417,364.111158101593,1
Alta,Baja,-70.3522863104525,-27.3558856511547,361.947572885701,1
Alta,Alta,-70.3499811406726,-27.3600411483899,366.120048441086,1
Alta,Alta,-70.3475482954414,-27.3530404472776,361.873870924985,0
Baja,Baja,-70.3491475747714,-27.3556309880117,363.74551945284,0
Media,Alta,-70.3485702999657,-27.3588780717822,365.277613902198,1
Alta,Alta,-70.3467947154725,-27.3602399140331,367.441146276728,1
Alta,Alta,-70.3482304019627,-27.3515807998543,360.798178487471,1
Alta,Alta,-70.3473863884496,-27.3512784289662,361.77396285308,1
Media,Alta,-70.3510422912546,-27.3503951238571,358.745550334555,1
Media,Baja,-70.3456433876114,-27.3611006302234,368.360810395921,1
Alta,Media,-70.353542197353,-27.3465141816018,354.460037450261,1
Alta,Media,-70.3518049891306,-27.3537956444421,360.340859944734,1
Alta,Alta,-70.343879768152,-27.3638542158216,371.301556358164,0
Baja,Baja,-70.3516675657277,-27.3537524821326,360.219215436624,1
Baja,Baja,-70.3511124172445,-27.3485031670886,357.262449901135,1
Alta,Alta,-70.3498257942781,-27.354099486305,361.382775364249,1
Alta,Alta,-70.3520864889114,-27.3560768985454,362.574681606234,0
Alta,Alta,-70.3471547555016,-27.359850914241,366.576369045574,1
Baja,Alta,-70.3497843533113,-27.3541334615592,361.50337478388,1
Media,Media,-70.3460003862727,-27.3501569157178,364.821284856503,1
Alta,Media,-70.3465481956785,-27.349731677242,363.754900484326,1
Alta,Alta,-70.3433163584992,-27.3639225189118,371.435649875451,1
Alta,Alta,-70.3504077403948,-27.3565545349188,363.423177559847,1
Alta,Media,-70.3464283303096,-27.3619538415431,368.486882933179,1
Alta,Media,-70.3516245782835,-27.3539853295721,361.153843833894,0
Alta,Alta,-70.3473863884496,-27.3512784289662,361.77396285308,1
Alta,Alta,-70.3446072754652,-27.3607424152343,370.171952340731,0
Media,Baja,-70.3431500575744,-27.3603966049223,370.710581094883,1
Alta,Baja,-70.3506644247061,-27.3563920896463,363.168427843188,1
Alta,Alta,-70.3475482954414,-27.3530404472776,361.873870924985,0
Media,Baja,-70.3456433876114,-27.3611006302234,368.360810395921,1
Media,Baja,-70.3513430634021,-27.3540916619663,361.222303147255,1
Media,Baja,-70.349487534477,-27.3501315995977,360.305476130889,1
Alta,Alta,-70.3462969981748,-27.3604586006051,367.726486672895,1
Alta,Alta,-70.3435598500048,-27.3640586740595,372.360875285891,1
Baja,Media,-70.3470535159277,-27.3496826399155,363.229556179766,1
Media,Media,-70.351748055086,-27.3538497956556,360.57784688483,1
Alta,Alta,-70.34992391755,-27.354465172824,362.227917306755,1
Media,Baja,-70.3456433876114,-27.3611006302234,368.360810395921,1
Baja,Baja,-70.3514201752054,-27.3540134194356,361.168173731287,1
Baja,Baja,-70.3451979285918,-27.3580616918903,367.667221415526,1
Baja,Baja,-70.341144069859,-27.3605333303951,374.019769350857,1
Baja,Alta,-70.3446279072733,-27.3597694852744,368.940022298983,1
Alta,Alta,-70.3512428478869,-27.3503772338801,358.323482035976,1
Alta,Media,-70.3504890435328,-27.3564527548977,363.485811897159,1
Alta,Media,-70.3492654729121,-27.3462895776305,364.826803769128,0
Alta,Alta,-70.3470050179903,-27.3595906212699,366.618587854816,1
Alta,Media,-70.3439086325993,-27.3634129321879,371.19670341815,1
Baja,Baja,-70.3504705755522,-27.351849157908,360.092701513504,1
Baja,Baja,-70.3451979285918,-27.3580616918903,367.667221415526,1
Media,Media,-70.3490326919105,-27.3468431712908,364.343878273971,1
Media,Media,-70.3516788665697,-27.3446342073355,356.53239116054,1
Alta,Media,-70.3465481956785,-27.349731677242,363.754900484326,1
Alta,Alta,-70.3516558201558,-27.3539503574799,360.999270184375,0
Alta,Alta,-70.3492413014596,-27.3559499490202,363.539711393153,1
Alta,Media,-70.3471101071684,-27.3489486540246,365.703896784945,1
Alta,Media,-70.3466334083418,-27.349704369382,363.738445693086,1
Media,Baja,-70.349487534477,-27.3501315995977,360.305476130889,1
Baja,Baja,-70.3402864369343,-27.360679637844,373.596303722005,1
Media,Baja,-70.3507661658747,-27.3564152288606,363.114104214384,1
Alta,Alta,-70.344611228426,-27.3613993374891,369.696335882575,1
Alta,Media,-70.3432613785771,-27.3632013987196,370.743194556086,1
Alta,Alta,-70.3439754265599,-27.3523867929649,376.545326978761,1
Alta,Baja,-70.3442743152834,-27.3597227782246,369.450120586921,1
Alta,Media,-70.3467432451856,-27.3496819018971,363.675476157666,1
Media,Media,-70.3509749127233,-27.3461003573035,358.621609127793,1
Alta,Alta,-70.3489434846837,-27.3576751645089,364.350443024841,1
Alta,Alta,-70.3461706366722,-27.3607171775379,368.516794841751,1
Alta,Media,-70.3479870814793,-27.3534976150001,361.877821368833,1
Alta,Baja,-70.3484702737283,-27.34315594716,358.542453793697,1
Alta,Alta,-70.3518990007604,-27.3528445201901,359.714284198645,0
Alta,Baja,-70.3429773637647,-27.3594555594085,374.495796820958,1
Alta,Media,-70.3456072203487,-27.3582068788668,367.734996449311,1
Alta,Baja,-70.3484702737283,-27.34315594716,358.542453793697,1
Alta,Alta,-70.3474640621512,-27.3530734023181,361.984855860777,1
Alta,Media,-70.3515040886134,-27.3484752844948,357.458280268837,0
Alta,Alta,-70.3511025780894,-27.3504783186123,358.477986567188,1
Baja,Baja,-70.3468806980561,-27.3474110996223,370.550707521726,1
Alta,Baja,-70.3502484172253,-27.3542175463991,361.629460607515,1
Alta,Alta,-70.3488486431466,-27.3586999222085,365.040378832773,1
Baja,Baja,-70.3459591271942,-27.3581609687253,367.443977897792,1
Media,Alta,-70.3467575767537,-27.3577354654432,366.959482926628,1
Alta,Media,-70.3509319927173,-27.3438493689844,357.008407329015,1
