Graffiti,Cercanía a puntos de interés ,Nivel de accesibilidad ,Visibilidad ,Tipo de espacio ,Frecuencia de visitas al área ,Técnica utilizada ,Formato,Complejidad visual ,Tamaño del arte ,Colores dominantes ,Tonalidad predominante ,Saturación,Contraste entre colores ,Monocromático o policromático ,Temas representados ,Enfoque,Narrativa,Uso de metáforas visuales ,Elementos simbólicos específicos ,Influencias culturales ,Iconografía religiosa o espiritual ,Simbolismo político o social ,Duración esperada ,Condiciones de conservación ,Factores de deterioro visibles ,Frecuencia de mantenimiento o restauración 
001,Plaza,Público,Media,Muro público,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,verde,Fríos,Media,Baja,Monocromático,una figura que parece representar un pez o una forma abstracta,Individual,Abstracta,No,Ninguno claramente identificable,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
002,Plaza,Público,Baja,Muro público,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Neutros,Baja,Baja,Monocromático,Letras,Individual,Explícita,No,Ninguno claramente visible,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
003,Calle,Público,Media,Muro público,Media,"Arte urbano, graffiti",1,Simple,Pequeño,rojo,Cálidos,Alta,Alta,Monocromático,Letras,Individual,Explícita,No,"El mensaje está claro: ""SMILE"" (Sonríe).",Ninguna identificable,No,No,Temporal,Regular,ninguno,Ninguna
004,Calle,Público,Media,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Pequeño,rojo,Cálidos,Alta,Alta,Monocromático,Letras,Individual,Abstracta,No,No se identifican elementos simbólicos claros.,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
005,Calle,Público,Media,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Neutros,Media,Media,Monocromático,Deporte,Individual,Explícita,No," Sí, el nombre ""Peñarol"" puede simbolizar apoyo al equipo de fútbol o identificación con él.",Occidental,No,No,Temporal,Regular,Ninguno,Ninguna
006,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Pequeño,rosa,Cálidos,Alta,Media,Monocromático,Firma de artista,Individual,Explícita,No,Ninguno claramente visible.,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
007,Parque,Público,Alta,Muro público,Baja,"Arte urbano, graffiti",1,Simple,Mediano,negro,Neutros,Baja,Media,Monocromático,"Firma de artista, Letras, Rostro sonriente",Individual,Abstracta,No,"La figura sonriente (""smiley"") podría considerarse un elemento simbólico general de positividad o irreverencia.",Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
008,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Mediano,negro,Neutros,Media,Alta,Monocromático,Letras,Individual,Abstracta,Sí,"Sí, el gato negro y el nombre CATS",Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
009,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Mediano,negro y blanco,Neutros,Baja,Media,Monocromático,"Firma de artista, Letras",Individual,Abstracta,No,"Ninguno claramente visible, aunque algunos diseños tienen formas decorativas.",Ninguna identificable,No,No,Temporal,Deteriorada,Exposición al clima,Ninguna
010,Estación de transporte,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Mediano,Blanco,Neutros,Baja,Media,Monocromático,"Es un mensaje romántico, probablemente personal (""Te amo"")",Individual,Explícita,No,"Las iniciales ""D&E"" y la fecha (""19-01-16"") pueden ser simbólicos para los involucrados, representando nombres y un momento significativo.",Ninguna identificable,No,No,Temporal,Regular,Ninguno,Ninguna
011,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,Morado y blanco,Neutros,Media,Media,Policromático,Arte Abstracto,Individual,Abstracta,No,"Ninguno claramente identificable, aunque el diseño superior podría interpretarse como un símbolo decorativo o personal.",Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
012,Calle,Público,Baja,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Pequeño,Negro,Neutros,Media,Media,Monocromático,Política,Individual,Explícita,No,No. Solo se observa texto.,Occidental,No,Sí,Temporal,Buena,Ninguno,Ninguna
013,Bomberos,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Pequeño,Azul claro o celeste,Fríos,Media,Media,Monocromático,Firma de artista,Individual,Abstracta,No,Ninguno identificable.,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
014,Calle,Público,Media,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,negro ,Neutros,Baja,Baja,Monocromático,"Resistencia social, Política",Individual,Explícita,No,No se identifican elementos específicos debido al desgaste.,Occidental,No,Sí,Temporal,Deteriorada,Exposición al clima,Ninguna
015,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Negro,Neutros,Media,Media,Monocromático,Firma de artista,Individual,Explícita,No,Ninguno identificable.,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
017,"Escuela, Plaza",Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,Azul,Fríos,Media,Media,Monocromático,Letras,Individual,Abstracta,No,"Sí, un sombrero sobre las letras, que podría ser un elemento decorativo o simbólico para el autor.",Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
018,"Escuela, Parque",Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Pequeño,Blanco,Neutros,Baja,Media,Monocromático,"Letras, Musical",Individual,Explícita,No,Taylor Swift,"Influencias populares (""Taylor Swift"" podría estar vinculado a la cultura musical global).",No,No,Temporal,Regular,Ninguno,Ninguna
019,"Escuela, Parque",Público,Baja,Banca publica,Media,"Arte urbano, graffiti",1,Simple,Pequeño,Negro,Neutros,Alta,Alta,Monocromático,Firma de artista,Individual,Abstracta,No,Ninguno claramente identificable,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
020,Plaza,Público,Baja,Banca,Baja,Intervención artística con pintura manual. Se utilizó la técnica de estampado de manos pintadas.,0,Simple,Pequeño,"Rojo, blanco y azul ",Cálidos,Media,Media,Policromático,Comunidad,Comunitario,Explícita,Sí,Las huellas de manos son un elemento simbólico universal que representa la participación de las personas.,Ninguna identificable,Sí,Sí,Temporal,Regular,Exposición al clima,Ninguna
021,Escuela,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Negro y azul ,Neutros,Media,Media,Policromático,Letras,Individual,Explícita,No,Romantico. El corazón es un elemento simbólico universal relacionado con el amor o los sentimientos.,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
022,Escuela,Público,Alta,Muro privado,Media,"Pintura mural. Realizado a mano con pinceles, utilizando colores brillantes y un estilo detallado.",0,Detallado,Grande,Multicolor,Cálidos,Alta,Alta,Policromático,"Naturaleza, Educación, Infancia",Comunitario,Explícita,No,"Las letras y números simbolizan aprendizaje, mientras que los niños dibujados simbolizan alegría y juego.",cultura educativa local y la promoción del desarrollo infantil.,No,No,Permanente,Buena,Ninguno,Frecuente
023,Parque,Público,Baja,Banca,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Negro,Neutros,Alta,Alta,Monocromático,Firma de artista,Individual,Abstracta,No,Ninguno claramente identificable.,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
024,Parque,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Negro,Neutros,Media,Media,Monocromático,Firma de artista,Individual,Abstracta,No,No se identifica un simbolismo claro,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
025,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Negro,Neutros,Baja,Media,Monocromático,Firma de artista,Individual,Abstracta,No,Ninguno claramente identificable,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
026,Parque,Público,Media,Muro privado,Baja,Pintura mural con spray. Detalles y sombreados sugieren el uso de técnicas más elaboradas.,0,Intrincado,Grande,Multicolor,Cálidos,Alta,Alta,Policromático,"Surrealismo, naturaleza antropomorfizada.",Individual,Abstracta,Sí,Las figuras humanoides y las estrellas alrededor.,influencias de arte psicodélico o surrealismo.,No,No,Temporal,Buena,Exposición al clima,Ninguna
027,Parque,Público,Media,Muro público,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Rojo ,Cálidos,Baja,Baja,Monocromático,Letras,Individual,Explícita,No,Ninguno claramente identificable.,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
028,Calle,Público,Alta,Muro público,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Negro,Neutros,Alta,Alta,Monocromático,Cultura pop,Individual,Explícita,Sí,"La corona y el texto ""El Barto"". Ambas referencias están directamente asociadas a Bart Simpson.",Occidental,No,No,Temporal,Buena,Ninguno,Ninguna
029,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Mediano,Negro,Neutros,Alta,Alta,Monocromático,"Política, Firma de artista",Individual,Explícita,Sí,"Símbolo de anarquismo, Corona, tags",Anarquismo ,No,Sí,Temporal,Regular,Exposición al clima,Ninguna
030,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Negro,Neutros,Baja,Media,Monocromático,"Firma de artista, Arte Abstracto",Individual,Abstracta,No,Ninguno claramente identificable,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
031,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Negro,Neutros,Baja,Media,Monocromático,"Letras, Arte Abstracto",Individual,Abstracta,No,"Algunos trazos pueden parecer una estrella mal formada o elementos decorativos, pero no son fácilmente identificables.",Ninguna identificable,No,No,Temporal,Deteriorada,Desgaste del muro,Ninguna
032,Calle,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Negro,Neutros,Media,Media,Monocromático,Letras,Individual,Abstracta,No,Ninguna evidente directamente,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
033,Plaza,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Mediano,Rojo,Cálidos,Media,Media,Monocromático,Letras,Individual,Explícita,No,Ninguno evidente,Ninguna identificable,No,No,Temporal,Regular,Desgaste del muro,Ninguna
034,Parque,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",0,Intrincado,Monumental,"Multicolor. Azul, rojo, negro y blanco",Cálidos,Alta,Alta,Policromático,"Mitología, Naturaleza, Espiritualidad o religión, Resistencia social, Política, Cultura pop, Firma de artista, Letras, Arte Abstracto",Comunitario,Abstracta,Sí,"Corazones, Figuras abstractas",Ninguna identificable,Sí,Sí,Temporal,Regular,Vandalismo,Ninguna
035,Parque,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",0,Intrincado,Monumental,"Azul, negro y rojo",Fríos,Media,Media,Policromático,"Espiritualidad o religión, Cultura pop, Firma de artista, Letras, Arte Abstracto",Comunitario,Explícita,Sí,"Corazones, Conejo",Ninguna identificable,Sí,No,Temporal,Regular,Vandalismo,Ninguna
036,Parque,Público,Media,Muro público,Media,"Arte urbano, graffiti",1,Simple,Pequeño,Negro,Neutros,Alta,Baja,Monocromático,"Letras, Arte Abstracto, Sexual, Amor",Individual,Abstracta,No,Ninguno claramente identificable,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
037,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Azul,Fríos,Media,Alta,Monocromático,Firma de artista,Individual,Abstracta,No,Miembro reproductor masculino,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
038,Calle,Público,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Gris,Neutros,Baja,Baja,Monocromático,Arte Abstracto,Individual,Abstracta,No,Ninguno identificable,Ninguna identificable,No,No,Temporal,Deteriorada,Exposición al clima,Ninguna
039,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Gris ,Neutros,Baja,Baja,Monocromático,Arte Abstracto,Individual,Abstracta,No,Ninguno identificable,Ninguna identificable,No,No,Temporal,Deteriorada,Desgaste del muro,Ninguna
040,Plaza,Público,Alta,Muro privado,Baja,Minimalismo,0,Detallado,Mediano,"Negro, blanco, toques de verde, rosa y azul",Neutros,Media,Alta,Policromático,"Naturaleza, Cultura pop, Amor",Comunitario,Explícita,Sí,"Gatos, luna, corazones, árbol",Occidental,No,No,Permanente,Buena,Ninguno,Frecuente
041,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Pequeño,Verde,Neutros,Media,Media,Monocromático,Firma de artista,Individual,Abstracta,No,"Palabra ""SUPA"" (posible pseudónimo o firma).",Occidental,No,No,Temporal,Regular,Exposición al clima,Ninguna
042,Terreno abierto,Semi-privado,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Azul,Fríos,Media,Media,Monocromático,Firma de artista,Individual,Abstracta,No,"Letras ""JOS"" y otros trazos.",Occidental,No,No,Temporal,Regular,Exposición al clima,Ninguna
043,Terreno abierto,Semi-privado,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Mediano,"Azul, negro.",Fríos,Media,Media,Policromático,"Cultura pop, Firma de artista",Individual,Abstracta,No,Dibujos de personajes caricaturescos,Occidental,No,No,Temporal,Regular,Exposición al clima,Ninguna
044,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Detallado,Mediano,"Azul, blanco y negro",Fríos,Media,Alta,Policromático,"Firma de artista, Letras, Arte Abstracto",Individual,Abstracta,No,Letras estilizadas,Oriental,No,No,Temporal,Regular,Exposición al clima,Ninguna
045,Calle,Público,Alta,Muro privado,Media,Abstracto,0,Detallado,Grande,"Azul, naranja, blanco y verde",Neutros,Media,Media,Policromático,"Mitología, Naturaleza, Cultura pop, Firma de artista, Letras, Arte Abstracto",Comunitario,Abstracta,Sí,árbol y el gato,Occidental,No,No,Permanente,Buena,Exposición al clima,Ocasional
046,Calle,Público,Media,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,"Blanco, negro y naranja",Neutros,Baja,Media,Policromático,Letras,Individual,Abstracta,No,Ninguno evidente,Occidental,No,No,Temporal,Regular,Vandalismo,Ninguna
047,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,Negro y naranja,Neutros,Baja,Baja,Policromático,"Resistencia social, Política, Cultura pop, Firma de artista, Letras",Comunitario,Explícita,No,Dibujos sencillos como rostros y trazos.,Occidental,No,Sí,Temporal,Regular,Vandalismo,Ninguna
048,Calle,Público,Media,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,"Azul, negro, y algunos tonos amarillos",Neutros,Media,Media,Policromático,"Política, Firma de artista, Letras",Individual,Explícita,No,Aparecen figuras simples y símbolos básicos como cruces o elementos geométricos.,Ninguna identificable,No,Sí,Temporal,Regular,Vandalismo,Ninguna
049,Calle,Público,Media,Muro privado,Media,"Arte urbano, graffiti",1,Detallado,Grande,"Azul, blanco y rojo",Fríos,Alta,Alta,Policromático,"Firma de artista, Letras",Individual,Abstracta,No,Letras estilizadas,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
050,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Detallado,Grande,"Blanco, azul y rojo",Fríos,Alta,Alta,Policromático,"Política, Letras, números",Individual,Abstracta,No,mensaje cifrado,Ninguna identificable,No,Sí,Temporal,Buena,Vandalismo,Ninguna
051,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,"Negro, naranja y blanco",Neutros,Baja,Media,Policromático,"Resistencia social, Política, Letras, Sexual",Comunitario,Explícita,No,cruz gamada y otros símbolos políticos,Occidental,No,Sí,Temporal,Regular,Vandalismo,Ninguna
052,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,Negro y rojo,Neutros,Baja,Media,Policromático,"Resistencia social, Política, Sexual",Individual,Explícita,No,La cruz gamada y otros símbolos menores.,Occidental,No,Sí,Temporal,Regular,Vandalismo,Ninguna
053,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Detallado,Mediano,"Rojo, negro y azul",Fríos,Media,Media,Policromático,"Firma de artista, Letras",Individual,Explícita,No,Letras,Occidental,No,No,Temporal,Deteriorada,Exposición al clima,Ninguna
054,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,"Azul, negro, y tonos claros",Fríos,Media,Media,Policromático,"Cultura pop, Firma de artista, Letras",Individual,Explícita,No,manos pintadas y Messi,Occidental,No,No,Temporal,Buena,Exposición al clima,Ninguna
055,Calle,Público,Baja,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Pequeño,Rojo,Cálidos,Media,Baja,Monocromático,Firma de artista,Individual,Explícita,No,firma ,Occidental,No,No,Temporal,Buena,Ninguno,Ninguna
057,Calle,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Mediano,Negro,Neutros,Alta,Alta,Monocromático,"Letras, Amor",Individual,Explícita,No,tipografía gótica,Occidental,No,No,Temporal,Buena,Ninguno,Ninguna
058,Plaza,Público,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Mediano,"Verde, azul",Neutros,Media,Baja,Policromático,"Letras, Arte Abstracto",Comunitario,Abstracta,No,símbolos o letras,Ninguna identificable,No,No,Temporal,Buena,Exposición al clima,Ninguna
059,Parque,Público,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Negro,Neutros,Alta,Alta,Monocromático,"Firma de artista, Letras",Individual,Abstracta,No,Solo letras,Ninguna identificable,No,No,Temporal,Buena,Exposición al clima,Ninguna
060,Parque,Público,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Grande,"Rojo, negro, amarillo",Neutros,Media,Media,Policromático,"Resistencia social, Política, Cultura pop, Letras, Sexual, Amor",Comunitario,Abstracta,Sí,Algunos signos y frases,Ninguna identificable,No,Sí,Temporal,Regular,Vandalismo,Ninguna
062,Plaza,Público,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Mediano,Negro,Neutros,Baja,Media,Monocromático,"Letras, Amor",Individual,Explícita,No,"frase ""Amor Propio""",Occidental,No,No,Temporal,Regular,Exposición al clima,Ninguna
063,Cancha deportiva,Semi-privado,Alta,Muro público,Media,"Arte urbano, graffiti",0,Detallado,Grande,"Amarillo, azul, verde y rojo",Neutros,Media,Media,Policromático,"Fútbol, Educación",Comunitario,Explícita,Sí,geométricas y abstractas,Occidental,No,No,Permanente,Regular,Exposición al clima,Ocasional
064,Plaza,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Negro y gris,Neutros,Baja,Baja,Monocromático,"Letras, Amor, Drogas",Individual,Explícita,No,Nombres y símbolos,Ninguna identificable,No,No,Temporal,Buena,Exposición al clima,Ninguna
065,Calle,Semi-privado,Baja,Muro privado,Baja,Surrealismo,1,Detallado,Grande,"Verde, rosa, amarillo y negro",Cálidos,Alta,Alta,Policromático,"Firma de artista, Arte Abstracto",Individual,Abstracta,Sí,Una mano que emite luz y un rostro,Ninguna identificable,No,No,Permanente,Buena,Exposición al clima,Ninguna
066,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"Blanco, burdeos y verde",Neutros,Alta,Media,Policromático,"Naturaleza, Firma de artista",Individual,Abstracta,Sí,La rana y humor,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
067,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"Blanco, negro, azul y tonos terrosos",Neutros,Alta,Alta,Policromático,"Mitología, Naturaleza, Firma de artista, Letras, Amor",Comunitario,Abstracta,Sí,patrones geométricos,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
068,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,Negro ,Cálidos,Alta,Alta,Monocromático,"Cultura pop, Firma de artista, Arte Abstracto",Individual,Abstracta,No,No se identifican,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
069,Calle,Público,Media,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Mediano,Negro,Cálidos,Alta,Alta,Monocromático,"Naturaleza, Firma de artista",Individual,Explícita,Sí,Cats,Ninguna identificable,No,No,Temporal,Buena,Exposición al clima,Ninguna
070,Parque,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",0,Detallado,Grande,"Naranja, verde, azul",Neutros,Alta,Alta,Policromático,"Firma de artista, Letras, Arte Abstracto",Comunitario,Abstracta,Sí,Los ojos y el retrato,influencias culturales latinas,No,Sí,Temporal,Regular,Exposición al clima,Ocasional
071,Parque,Público,Baja,Muro privado,Alta,"Arte urbano, graffiti",1,Intrincado,Mediano,"Verde, amarillo, blanco y negro",Fríos,Alta,Baja,Policromático,"Firma de artista, Letras, Amor",Individual,Explícita,Sí,"palabras como ""M"" y ""CA"",",Ninguna identificable,No,No,Temporal,Regular,Vandalismo,Ninguna
072,línea del tren,Semi-privado,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,verde y amarillo,Fríos,Alta,Media,Policromático,Firma de artista,Individual,Abstracta,No,letras estilizadas,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
073,línea del tren,Semi-privado,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,verde,Cálidos,Media,Media,Monocromático,Firma de artista,Individual,Explícita,No,letras estilizadas,Occidental,No,No,Temporal,Regular,Exposición al clima,Ninguna
074,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,Verde y Blanco,Neutros,Alta,Alta,Monocromático,"Firma de artista, Letras",Individual,Explícita,No,Letras estilizadas,Occidental,No,No,Temporal,Regular,Ninguno,Ninguna
075,Parque,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,verde,Cálidos,Alta,Alta,Monocromático,Firma de artista,Individual,Abstracta,No,letras,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
076,Calle,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Mediano,"Amarillo, Negro, Azul y Blanco",Neutros,Media,Alta,Policromático,"Cultura pop, Firma de artista, Letras, Música",Individual,Abstracta,Sí,Hombre con casco,Occidental,No,No,Permanente,Buena,Exposición al clima,Ninguna
