Name;X;Y
1;-703.541.884.948.444;-273.438.562.146.765
2;-703.543.260.711.399;-273.440.683.624.267
3;-703.516.788.665.697;-273.446.342.073.355
4;-703.516.890.021.403;-27.344.594.578.252
5;-703.516.233.065.523;-273.445.127.957.817
6;-703.509.319.927.173;-273.438.493.689.844
7;-703.484.702.737.283;-2.734.315.594.716
8;-70.351.179.413.892;-273.455.242.184.511
9;-703.512.428.478.869;-273.503.772.338.801
10;-703.522.393.761.823;-273.521.161.696.452
11;-703.503.268.983.991;-273.494.567.592.202
12;-703.494.868.892.858;-27.348.563.900.667
13;-703.503.203.033.128;-273.468.723.255.408
14;-703.509.749.127.233;-273.461.003.573.035
15;-703.513.841.395.125;-273.458.727.287.791
16;-70.353.542.197.353;-273.465.141.816.018
17;-703.529.737.013.606;-2.734.710.924.793
18;-703.531.099.536.999;-273.470.326.733.588
19;-703.530.711.605.546;-273.469.124.323.342
20;-703.520.561.599.928;-273.463.233.322.041
21;-703.515.040.886.134;-273.484.752.844.948
22;-703.511.124.172.445;-273.485.031.670.886
23;-703.510.474.129.577;-273.493.921.437.904
24;-703.505.442.918.055;-273.487.533.899.476
25;-703.505.184.240.779;-273.474.446.866.216
26;-703.509.349.165.783;-273.474.213.404.676
27;-703.509.954.423.762;-273.473.364.545.588
28;-703.500.962.256.284;-273.455.753.369.646
29;-703.507.729.769.065;-273.459.469.619.127
30;-703.499.107.843.467;-273.455.445.214.451
31;-703.498.105.367.935;-273.456.597.724.551
32;-703.497.405.032.652;-273.457.463.793.831
33;-703.492.654.729.121;-273.462.895.776.305
34;-703.492.763.255.309;-273.465.935.633.024
35;-703.490.326.919.105;-273.468.431.712.908
36;-703.488.311.056.166;-27.346.643.253.278
37;-703.463.316.481.606;-27.345.486.248.994
38;-703.460.474.153.648;-273.459.076.058.359
39;-70.345.895.913.904;-273.461.121.789.799
40;-703.460.847.170.902;-273.470.201.630.803
41;-703.468.806.980.561;-273.474.110.996.223
42;-703.473.421.628.694;-273.491.674.125.943
43;-703.471.101.071.684;-273.489.486.540.246
44;-703.459.133.652.374;-273.502.339.444.864
45;-703.460.003.862.727;-273.501.569.157.178
46;-703.461.037.458.832;-273.500.529.166.194
47;-703.462.118.574.637;-273.499.479.838.577
48;-703.463.335.701.372;-273.498.399.346.417
49;-703.464.410.040.609;-273.497.728.551.411
50;-703.465.481.956.785;-27.349.731.677.242
51;-703.466.334.083.418;-27.349.704.369.382
52;-703.467.432.451.856;-273.496.819.018.971
53;-703.468.697.843.391;-273.496.847.915.512
54;-703.470.535.159.277;-273.496.826.399.155
55;-703.485.123.974.039;-273.487.203.702.238
56;-703.498.268.889.994;-273.491.790.771.151
57;-703.492.066.627.909;-273.497.495.346.475
58;-703.489.184.673.441;-27.349.359.135.321
59;-70.349.487.534.477;-273.501.315.995.977
60;-703.498.329.676.201;-273.501.882.114.065
61;-703.498.273.630.558;-273.506.050.197.927
62;-703.498.029.517.707;-273.509.070.876.053
63;-703.504.705.755.522;-27.351.849.157.908
64;-703.502.951.628.671;-273.518.639.090.138
65;-703.515.070.966.818;-273.516.596.592.295
66;-703.511.025.780.894;-273.504.783.186.123
67;-703.510.422.912.546;-273.503.951.238.571
68;-70.351.678.841.103;-273.515.324.293.603
69;-703.517.447.846.299;-273.516.211.887.369
70;-703.519.927.811.005;-273.522.115.654.935
71;-703.517.303.280.486;-273.523.418.070.401
72;-703.519.246.276.806;-273.528.145.227.463
73;-703.518.990.007.604;-273.528.445.201.901
74;-703.511.004.860.292;-273.525.615.978.639
75;-703.493.965.319.259;-273.530.555.302.923
76;-703.498.848.434.175;-273.541.689.651.069
77;-703.498.257.942.781;-27.354.099.486.305
78;-703.497.843.533.113;-273.541.334.615.592
79;-7.034.992.391.755;-27.354.465.172.824
80;-703.501.125.992.119;-273.543.209.300.668
81;-703.502.484.172.253;-273.542.175.463.991
82;-703.507.948.613.676;-273.533.919.749.913
83;-703.504.651.720.833;-273.536.597.433.298
84;-703.490.930.014.704;-273.531.819.639.332
85;-70.349.147.942.505;-273.532.436.100.996
86;-703.489.148.888.108;-273.533.334.323.712
87;-703.479.459.097.936;-273.536.198.768.813
88;-703.479.870.814.793;-273.534.976.150.001
89;-703.481.077.674.268;-273.533.974.224.552
90;-703.480.866.506.495;-273.532.840.818.466
91;-703.475.482.954.414;-273.530.404.472.776
92;-703.474.640.621.512;-273.530.734.023.181
93;-703.474.493.428.779;-273.529.981.782.514
96;-703.477.590.164.949;-273.527.891.291.699
94;-703.475.368.211.107;-273.529.098.049.272
95;-70.347.597.374.885;-273.528.584.097.053
97;-703.473.518.985.531;-273.519.992.735.314
98;-703.485.411.807.986;-273.513.065.862.536
99;-703.479.386.823.649;-273.510.601.512.064
100;-703.481.285.440.943;-273.515.136.303.893
101;-703.482.304.019.627;-273.515.807.998.543
102;-703.462.353.419.041;-273.530.612.102.824
103;-703.461.175.744.739;-273.533.034.956.468
104;-703.451.535.100.543;-273.526.532.135.451
105;-70.345.030.378.294;-273.526.424.373.199
106;-703.469.632.575.667;-273.537.137.696.013
107;-703.471.849.941.686;-273.541.896.268.162
108;-703.477.609.289.098;-27.355.456.944.278
109;-70.347.839.873.684;-273.554.060.437.057
110;-703.464.075.798.149;-273.524.362.811.236
111;-703.464.255.896.124;-273.522.333.949.394
112;-703.450.913.840.753;-27.351.722.845.822
113;-703.471.513.158.443;-273.497.102.660.805
114;-703.476.179.470.257;-273.510.858.298.721
115;-703.473.863.884.496;-273.512.784.289.662
116;-703.468.526.198.442;-273.519.144.802.926
117;-703.477.854.513.222;-273.559.479.749.412
118;-703.478.056.231.646;-273.560.232.408.346
119;-703.480.866.337.852;-273.559.267.680.292
120;-703.478.299.571.804;-273.561.217.130.189
121;-703.439.754.265.599;-273.523.867.929.649
122;-70.343.437.838.308;-273.523.708.584.377
124;-703.441.877.926.696;-273.583.176.274.395
125;-703.437.829.227.025;-27.359.288.355.769
126;-703.429.773.637.647;-273.594.555.594.085
127;-703.435.614.360.993;-273.598.393.164.367
129;-703.402.864.369.343;-27.360.679.637.844
130;-703.402.819.381.904;-273.608.542.386.131
131;-703.411.580.978.854;-273.617.802.526.674
132;-703.416.952.567.667;-273.615.728.580.293
132y;-703.413.510.590.088;-27.361.850.768.497
134;-703.430.693.768.219;-27.360.456.029.261
135;-703.431.500.575.744;-273.603.966.049.223
136;-703.440.199.762.568;-273.597.551.100.554
137;-703.448.616.958.481;-273.590.813.847.691
138y;-70.345.727.533.987;-273.583.903.479.991
139;-70.345.704.064.726;-273.583.352.510.981
140;-703.456.072.203.487;-273.582.068.788.668
141;-703.454.457.034.335;-27.358.169.559.298
142;-703.453.323.014.832;-273.580.737.800.094
143;-703.451.979.285.918;-273.580.616.918.903
144;-703.459.591.271.942;-273.581.609.687.253
145;-703.491.475.747.714;-273.556.309.880.117
146;-703.517.797.295.508;-273.533.820.127.285
147;-703.518.532.387.141;-273.532.776.124.429
148;-703.523.897.360.935;-27.352.945.471.754
149;-703.516.675.657.277;-273.537.524.821.326
150;-703.515.800.446.419;-273.538.555.881.312
151;-703.515.138.639.412;-273.539.289.950.398
152;-703.514.201.752.054;-273.540.134.194.356
153;-703.513.430.634.021;-273.540.916.619.663
154;-703.492.413.014.596;-273.559.499.490.202
155;-703.499.558.544.247;-27.356.063.807.557
156;-703.518.287.379.011;-273.565.699.941.158
158;-70.352.563.075.402;-273.537.729.986.811
159;-703.518.049.891.306;-273.537.956.444.421
160;-703.517.117.177.564;-273.538.868.804.298
161;-70.351.748.055.086;-273.538.497.956.556
162;-703.516.558.201.558;-273.539.503.574.799
163;-703.516.865.453.249;-273.539.190.047.676
164;-703.516.245.782.835;-273.539.853.295.721
165;-703.515.914.221.731;-273.540.264.498.128
166;-703.515.277.991.722;-273.540.927.882.649
167;-703.516.582.128.626;-273.548.459.814.331
168;-703.522.863.104.525;-273.558.856.511.547
169;-703.520.864.889.114;-273.560.768.985.454
170;-703.514.239.381.019;-273.554.512.411.667
171;-703.511.616.307.354;-27.355.535.056.959
172;-70.350.896.945.185;-273.560.213.320.668
173;-703.521.653.401.047;-273.567.575.776.802
174;-703.511.114.114.731;-2.735.650.827.435
175;-703.509.831.664.735;-273.564.767.441.338
176;-703.508.917.178.342;-273.564.485.606.922
177;-703.507.661.658.747;-273.564.152.288.606
178;-703.506.644.247.061;-273.563.920.896.463
179;-703.505.768.271.422;-273.563.769.536.857
180;-703.505.201.240.876;-273.564.172.442.038
181;-703.504.890.435.328;-273.564.527.548.977
182;-703.504.471.718.938;-273.565.117.287.118
183;-703.504.077.403.948;-273.565.545.349.188
184;-703.486.622.690.506;-273.570.315.732.695
185;-703.489.901.694.376;-273.576.390.861.366
186;-703.489.434.846.837;-273.576.751.645.089
187;-703.489.099.566.709;-273.577.119.703.954
188;-703.503.966.828.741;-273.587.944.025.716
189;-703.503.358.718.881;-273.587.158.439.558
190;-703.490.508.096.474;-273.585.436.160.936
191;-703.488.486.431.466;-273.586.999.222.085
192;-703.485.702.999.657;-273.588.780.717.822
193;-703.472.146.248.694;-273.597.926.027.633
194;-703.470.050.179.903;-273.595.906.212.699
195;-703.467.575.767.537;-273.577.354.654.432
196;-703.468.988.331.741;-273.576.351.497.311
197;-703.476.788.311.538;-273.569.795.181.721
198;-703.499.811.406.726;-273.600.411.483.899
199;-70.348.142.889.886;-273.604.770.202.734
200;-703.471.547.555.016;-27.359.850.914.241
201;-70.347.164.965.465;-273.599.472.018.264
202;-70.346.960.800.058;-273.599.770.839.293
203;-703.467.947.154.725;-273.602.399.140.331
204;-703.464.994.718.438;-273.604.332.187.872
205;-703.462.969.981.748;-273.604.586.006.051
206;-703.461.706.366.722;-273.607.171.775.379
207;-7.034.602.728.554;-273.608.182.293.543
208;-703.458.624.274.472;-273.607.844.510.489
209;-703.446.279.072.733;-273.597.694.852.744
210;-703.445.870.310.411;-27.359.725.496.589
211;-703.445.918.977.421;-273.595.140.332.672
212;-703.442.743.152.834;-273.597.227.782.246
213;-703.432.425.524.112;-273.605.450.070.551
214;-703.429.949.453.464;-273.607.355.497.937
215;-703.430.889.271.991;-273.606.613.150.928
216;-703.429.157.810.707;-273.607.807.776.863
217;-703.425.651.291.451;-273.610.763.945.154
218;-703.415.091.603.934;-273.618.877.194.512
219;-703.420.167.670.187;-273.626.946.922.829
220;-703.422.008.732.679;-27.362.913.954.505
221;-703.424.072.168.552;-273.631.130.491.738
222;-703.431.606.916.376;-273.633.180.633.509
223;-703.432.165.922.664;-273.632.538.866.042
224;-703.432.613.785.771;-273.632.013.987.196
226;-703.433.462.038.955;-27.363.567.877.419
225;-703.432.129.298.258;-273.634.300.058.367
227;-703.433.163.584.992;-273.639.225.189.118
228;-703.434.452.887.498;-273.640.341.292.545
229;-703.435.598.500.048;-273.640.586.740.595
230;-70.343.879.768.152;-273.638.542.158.216
231;-703.441.906.772.224;-273.636.694.309.703
232;-703.439.086.325.993;-273.634.129.321.879
233;-70.346.469.068.704;-273.620.335.209.219
234;-703.464.283.303.096;-273.619.538.415.431
235;-703.461.792.306.866;-273.615.807.616.257
236;-703.457.175.150.872;-273.610.738.565.575
237;-703.456.433.876.114;-273.611.006.302.234
238;-70.345.104.846.655;-273.616.276.205.633
239;-703.452.095.811.222;-273.617.119.402.883
240;-703.442.494.113.444;-273.620.822.721.648
241;-703.439.149.405.486;-273.624.439.094.132
242;-703.442.265.392.375;-273.619.253.735.348
243;-7.034.331.436.617;-273.609.403.643.169
244;-703.446.989.368.831;-273.607.495.513.643
245;-703.446.072.754.652;-273.607.424.152.343
246;-703.441.659.287.603;-273.607.342.181.889
247;-703.443.296.095.476;-273.606.882.277.257
248;-703.444.822.571.792;-273.607.290.345.998
249;-703.443.375.295.182;-273.610.039.804.078
250;-703.445.018.105.078;-273.608.942.933.095
251;-70.344.611.228.426;-273.613.993.374.891
